u,g,r,i,z,redshift
18.66146,17.47565,16.843329999999998,16.44699,16.24354,0.08561749399999995
20.08722,18.43863,17.52299,17.03347,16.6548,0.1313497610000001
20.56381,18.40769,17.27082,16.81345,16.457420000000003,0.15659036999999992
20.39381,18.7143,17.63628,17.12491,16.76461,0.15632811250000006
19.40395,18.18443,17.55559,17.21634,16.999979999999997,0.09074600899999993
20.28305,18.59871,17.67096,17.24376,17.00937,0.12535478199999994
20.83974,18.7115,17.52459,17.05858,16.70082,0.1674713099999998
20.10986,18.08622,17.01829,16.556079999999998,16.20982,0.13914289999999988
20.47673,18.941,17.732779999999998,17.2452,16.902060000000002,0.17848014500000023
20.92816,18.8785,17.62953,17.155170000000002,16.83868,0.19758136000000012
19.41644,18.27863,17.70307,17.28959,17.111639999999998,0.12244251799999997
19.82318,18.25813,17.32682,16.88,16.557479999999998,0.1256202034999999
18.98452,17.666970000000003,17.029529999999998,16.67021,16.415429999999997,0.08144813499999996
19.19182,17.70741,16.90183,16.511589999999998,16.188860000000002,0.10087321150000003
19.57121,17.73803,16.72488,16.28186,15.96036,0.1214467290000001
19.62037,17.819470000000003,16.81704,16.325110000000002,15.97328,0.11754461949999995
20.46109,18.32956,17.28514,16.7929,16.38782,0.13526877299999987
17.97379,15.98768,15.100929999999998,14.698670000000002,14.38552,0.05658549950000003
20.65982,18.48889,17.37795,16.95252,16.67057,0.1474342665
20.45424,18.62276,17.62848,17.16425,16.82414,0.12638207199999996
19.4263,18.34337,17.68844,17.27519,17.097939999999998,0.12522968449999994
18.71805,17.24073,16.57443,16.20755,15.944770000000002,0.07386432660000014
19.65734,18.042,17.18496,16.7773,16.45486,0.09392112099999989
20.61372,18.58047,17.56387,17.1206,16.77075,0.12926423799999992
18.41749,16.55471,15.73954,15.34165,15.039,0.06075413299999996
20.67118,18.65786,17.3735,16.88021,16.48836,0.1868834999999999
18.69707,17.20104,16.3674,15.96966,15.649170000000002,0.09601849365000009
19.792720000000003,17.80754,16.77736,16.33507,15.9444,0.11058990600000007
19.75397,17.647679999999998,16.69906,16.215329999999998,15.82509,0.10563328099999997
19.32759,17.281470000000002,16.38131,15.95881,15.60616,0.08146350400000003
20.01177,18.75682,17.68905,17.31479,16.95441,0.18377389200000016
20.89591,18.63808,17.42472,16.97384,16.67846,0.16283863899999995
19.69047,18.39518,17.71675,17.23861,16.97608,0.1217765489999999
19.81695,17.88786,17.00639,16.59289,16.28282,0.07631959599999998
20.93888,18.7026,17.642039999999998,17.32273,16.83641,0.12317678949999991
20.82401,18.69303,17.58344,17.120639999999998,16.79,0.15481446999999995
21.21574,18.60432,17.19675,16.66496,16.333679999999998,0.19306597950000012
20.32637,18.38432,17.45436,17.034860000000002,16.742729999999998,0.09666751950000001
20.9356,18.83142,17.49781,16.948420000000002,16.6068,0.20174731999999998
18.97869,17.14655,16.35993,15.96905,15.64163,0.07727185499999989
18.52272,16.82884,16.111539999999998,15.75299,15.48949,0.05594298800000009
20.65758,18.50349,17.21248,16.71104,16.34765,0.18654935400000003
19.7493,18.25449,17.474829999999997,17.08175,16.751379999999997,0.10716149799999998
18.34229,17.15972,16.64058,16.30881,16.14249,0.058930234950000056
19.82375,17.90935,16.85066,16.35996,16.06167,0.12146392549999982
18.68338,17.158479999999997,16.32613,15.90244,15.59429,0.08778725650000005
20.21097,18.79415,17.92213,17.43883,17.07574,0.1500621105
20.31452,18.34999,17.25713,16.77682,16.429560000000002,0.1417080835000001
17.36385,16.223860000000002,15.73074,15.47031,15.29827,0.03744913485000004
20.24525,18.58239,17.42853,16.93769,16.66248,0.1623635415000002
18.80273,16.758770000000002,15.76378,15.33763,14.96595,0.08801639199999993
18.65571,16.9315,16.122220000000002,15.74337,15.4689,0.05415298400000004
19.42779,17.84766,16.94659,16.50694,16.19605,0.12014821000000017
16.89537,15.2407,14.49528,14.10611,13.79491,0.03349631600000005
20.28813,18.56802,17.489,17.00606,16.66165,0.15194122650000022
19.30415,17.52444,16.66241,16.273320000000002,15.972,0.057555615499999914
20.71089,18.75646,17.61351,17.13736,16.78664,0.1632112444999999
19.08695,17.89131,17.3849,17.037860000000002,16.83217,0.06128358800000001
19.59588,17.99619,17.23265,16.77358,16.4788,0.09123018399999992
20.64426,18.66106,17.63879,17.19452,16.84447,0.13633620850000025
19.1485,18.02623,17.330270000000002,16.97448,16.7255,0.13401837605
18.77582,17.16199,16.30958,15.9181,15.58755,0.08037904499999991
19.32965,18.02258,17.25988,16.86717,16.54741,0.1189324324999999
19.06915,17.56012,16.749470000000002,16.32072,15.978270000000002,0.07667372799999994
18.53848,17.55149,17.22215,16.99341,16.91883,0.044458965000000024
20.98103,18.56503,17.43522,17.02024,16.73907,0.1521952929999999
19.61958,18.18095,17.351129999999998,16.939529999999998,16.69633,0.12592867250000017
19.86194,18.28669,17.35775,16.87781,16.50029,0.12454954899999994
19.38681,17.78656,16.99213,16.54245,16.21423,0.10034165899999997
